Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
4E-14;66.10;34.90;45.40;83.60;2E-14;65.60;34.90;30.30;82.10;-2E-15;64.5;24.4;38.8;79.7
-4E-17;64.20;34.40;43.90;79.70;-1E-16;63.70;34.40;29.60;78.30;0E+00;62.6;24.3;37.6;76
0E+00;62.40;34.00;42.40;76.10;0E+00;61.90;34.00;28.90;74.70;0E+00;60.9;24.1;36.5;72.6
0E+00;60.60;33.50;41.00;72.70;0E+00;60.20;33.50;28.30;71.40;2E-07;68.4;23.4;24.5;88.6
0E+00;59.00;33.10;39.70;69.40;0E+00;58.50;33.10;27.70;68.20;8E-08;69.5;47.6;47.1;89.6
8E-07;67.30;45.40;58.70;89.90;1E-06;69.40;45.40;35.10;89.80;1E-06;69.1;30.5;39.3;90
5E-07;69.80;47.90;54.80;90.00;8E-07;69.40;47.90;33.90;90.00;5E-07;69.1;30.8;35.8;89.4
6E-07;69.80;44.90;53.50;90.00;6E-07;69.10;44.90;28.40;89.90;2E-07;68.5;21.1;23.1;89.2
5E-07;69.60;42.00;47.90;89.90;2E-07;68.80;42.00;23.20;89.80;2E-07;68.9;23.1;23.7;89.8
5E-08;69.20;37.50;37.50;89.70;1E-07;69.20;37.50;37.40;89.70;1E-07;69.2;38.1;38.2;89.7
4E-08;69.40;43.50;43.70;89.60;8E-08;69.40;43.50;43.60;89.60;9E-08;69.3;43.5;43.8;89.6
1E-11;68.40;54.50;54.30;87.40;3E-11;68.40;54.50;54.70;87.40;2E-11;68.2;53;52.6;87.2
1E-15;66.50;53.40;52.20;83.60;4E-15;66.50;53.40;52.60;83.60;2E-15;66.3;51.9;50.6;83.3
0E+00;64.60;52.30;50.20;79.70;0E+00;64.60;52.30;50.60;79.80;0E+00;64.4;50.8;48.7;79.5
6E-08;67.80;26.10;27.00;87.10;1E-07;67.70;26.10;27.00;87.10;2E-07;68.5;23.7;24.9;88.8
3E-07;69.00;41.30;45.90;89.80;9E-08;69.30;41.30;42.60;89.70;9E-08;69.4;45.8;45.3;89.7
3E-07;69.10;40.10;47.10;89.80;8E-08;69.30;40.10;44.30;89.60;8E-08;69.2;43.5;44.1;89.5
2E-07;69.30;35.60;50.40;89.30;3E-07;69.00;35.60;43.60;88.80;2E-07;68.8;27.6;44.3;88.4
2E-07;68.90;37.70;49.50;88.90;2E-07;68.70;37.70;32.60;88.60;3E-07;68.6;26;42;88
4E-07;68.60;29.60;39.90;89.60;4E-07;68.80;29.60;28.70;89.60;3E-07;68.4;23.6;28.3;89.4
2E-07;69.20;47.60;52.10;89.70;4E-07;69.30;47.60;45.50;89.70;3E-07;69;47.9;49.4;89.7
3E-07;69.10;49.70;56.90;89.50;3E-07;69.10;49.70;39.50;89.40;3E-07;69.4;44.5;52.8;89.3
3E-07;68.60;38.90;51.10;89.00;2E-07;69.00;38.90;33.70;88.90;4E-07;68.2;26;43.7;87.4
