Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
2.17967E-08;41.8;27.7;84.4;140;1.51624E-08;58.9;27.7;71.3;95.1;1.36268E-17;37.3;23.7;67.5;142
6.72681E-08;46.2;33.5;82.5;142;7.99352E-08;43.7;33.5;81.7;104;0;36.6;23.5;64.6;136
5.43284E-08;46.6;34;83;141;7.30848E-08;47.4;34;78.2;94;9.60172E-08;42.9;24.7;65.9;595
6.85126E-08;47;34.5;82.4;141;7.61209E-08;50.3;34.5;74.3;92.9;5.90286E-08;45.6;25.9;75.2;461
7.06425E-08;46.4;33.7;82.2;141;7.68266E-08;50;33.7;74.9;93.3;8.50327E-08;60.6;24.7;51.7;597
6.5593E-08;47.8;35.5;82.6;141;8.23196E-08;49.7;35.5;75.3;93.8;8.50095E-08;61.1;24.4;49.3;792
6.77511E-08;47.2;34.7;82.4;141;6.36262E-08;48.1;34.7;78.4;94;8.41415E-08;58;24.4;61.6;677
7.36556E-08;48.4;36;81.9;143;7.48275E-08;47.3;36;79.3;94.6;1.09312E-07;66.3;24.5;42.6;1005
6.91505E-08;47.5;35.1;82.4;141;1.11793E-07;42.8;35.1;82.2;119;8.55682E-08;60.5;24.6;51.6;1187
2.39245E-11;43.5;35.3;79.3;138;-1.85699E-12;45.5;35.3;81.4;93.7;1.82599E-11;59.7;24.6;61;207
-8.19333E-15;42.6;34.8;75.7;130;9.28497E-15;44.4;34.8;77.6;89.4;1.36268E-14;58.1;24.4;58.3;184
4.09667E-17;41.6;34.4;72.3;123;-4.64248E-17;43.4;34.4;74.1;85.1;0;56.4;24.2;55.8;142
0;40.7;33.9;69.1;117;0;42.4;33.9;70.8;81.1;0;54.9;24;53.5;136
0;39.9;33.4;66.1;111;0;41.5;33.4;67.7;77.4;0;53.4;23.8;51.5;128
0;39;33;63.3;105;0;40.6;33;64.8;73.9;0;52;23.7;49.5;122
2.93819E-07;68.8;48.6;-231.5;11233;4.30299E-07;55;48.6;52.1;1870;5.54468E-07;57.5;30.4;51.3;1703
2.08132E-07;70.1;51.3;-151.2;9219;3.44053E-07;52.7;51.3;69.1;90;4.10685E-07;59.5;32.3;62.3;90
2.08302E-07;69.6;48.5;-64.1;7760;1.32543E-07;64;48.5;32.4;94.6;1.75083E-07;66;40.4;52.3;89.9
