Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
2.14595E-08;64.9;59.2;59.2;89.7;4.90437E-08;68.2;59.2;30.8;88.3;2.36223E-07;69.5;42.2;42.6;89.9
2.13154E-08;64.9;59.2;59.3;89.7;1.75109E-14;66.2;59.2;30.5;84.4;1.39706E-07;69.7;53.5;53.8;89.9
2.12805E-08;64.9;59.2;59.3;89.7;0;64.3;59.2;29.9;80.5;6.81605E-08;69.6;56.9;65;89.5
2.12758E-08;64.9;59.2;59.3;89.7;0;62.5;59.2;29.3;76.8;6.40707E-12;68;58.4;73.6;86.4
2.12735E-08;64.9;59.2;59.3;89.7;0;60.7;59.2;28.6;73.3;5.33922E-15;66;57.2;70.3;82.6
2.12712E-08;64.9;59.2;59.3;89.7;0;59.1;59.2;28;70.1;0;64.2;56;67.3;78.8
1.17683E-07;64.8;56;58.4;89.7;0;57.5;56;27.5;67;0;62.4;54.9;64.4;75.2
1.67128E-07;64.8;54.4;57.6;89.8;0;55.9;54.4;26.9;64.1;0;60.6;53.8;61.7;71.9
1.47082E-07;64.8;55;58;89.8;0;54.3;55;26.4;61.3;0;58.8;52.7;59;68.5
1.69065E-07;64.7;54;57.5;89.8;1.23636E-07;57.8;54;26.9;68.1;0;57.2;51.7;56.6;65.5
1.81334E-07;64.7;53.5;57.5;89.8;7.05384E-08;68.7;53.5;30.7;88.5;0;55.7;50.7;54.3;62.8
1.53914E-07;64.7;54.8;58.4;89.8;2.00675E-07;68.8;54.8;30.5;88.9;0;54.2;49.7;52.2;60.1
1.81157E-07;64.7;53.9;58;89.8;1.13865E-07;68.9;53.9;31.2;89;1.18483E-07;54.4;46.5;48.8;60.7
1.91868E-07;64.7;53.6;58.1;89.8;1.39882E-07;68.8;53.6;31.7;88.8;5.12512E-08;68.3;27.1;35;87.4
1.94647E-07;64.8;57.3;62.5;89.7;1.56578E-07;68.7;57.3;32.1;88.7;2.72679E-07;68.4;25.9;35.1;88.3
1.88364E-09;65;64.5;64.2;88.4;4.37773E-14;67.2;64.5;32.4;85.6;1.82068E-09;68.9;26.3;34.4;87.5
1.42785E-09;65;64.6;63.6;87.6;0;65.2;64.6;31.6;81.6;-5.33922E-15;66.9;26.2;33.5;83.4
1.14414E-09;65;64.7;63.5;87.1;6.95447E-08;64.5;64.7;28.4;80.2;5.33922E-17;65;26;32.6;79.5
1.92968E-08;64.9;59.8;59.8;89.5;3.20538E-07;69;59.8;25;89.9;0;63.1;25.7;31.8;75.9
2.0741E-08;64.9;59.4;59.4;89.7;1.68319E-07;69.5;59.4;46.2;89.9;0;61.3;25.5;31;72.4
2.09944E-08;64.9;59.3;59.4;89.7;1.04032E-07;69.7;59.3;55.2;89.9;0;59.6;25.3;30.3;69.2
